Type,Employee ID,Full Name,JobTitle,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
Production,E02060,Jacob Cheng,Director,Sales,Manufacturing,Male,Asian,47,11/26/1999,"$155,890 ",17%,United States,Columbus,11/27/2003
Production,E02061,Nathan Hong,Director,Finance,Corporate,Male,Asian,50,10/02/2019,"$150,631 ",17%,United States,Phoenix,
Production,E02062,Chloe Kim,Sr.Analyst,Sales,Specialty Products,Female,Asian,39,07/06/2012,"$72,850 ",0%,United States,Miami,
Production,E02063,Isaac Guzman,AccountRepresentative,Sales,Corporate,Male,Latino,46,8/18/2010,"$57,951 ",0%,United States,Phoenix,
Production,E02064,Julian Ford,AnalystII,Sales,Manufacturing,Male,Caucasian,50,7/29/2010,"$70,340 ",0%,United States,Miami,
Production,E02065,Kinsley Liang,AutomationEngineer,Engineering,Manufacturing,Female,Asian,55,8/25/2008,"$98,221 ",0%,China,Shanghai,
Production,E02066,Wesley Yu,Sr.Manager,Sales,Specialty Products,Male,Asian,43,9/24/2003,"$127,175 ",12%,United States,Seattle,
Production,E02067,Serenity Martin,Sr.Analyst,Finance,Manufacturing,Female,Black,26,5/16/2021,"$97,542 ",0%,United States,Phoenix,
Production,E02068,Ethan Sanchez,Sr.Analyst,Marketing,Research & Development,Male,Latino,34,5/15/2019,"$81,646 ",0%,United States,Phoenix,
Production,E02069,David Sanchez,Director,Sales,Specialty Products,Male,Latino,38,07/05/2009,"$182,055 ",27%,Brazil,Rio de Janeiro,
Production,E02070,Elias Hsu,Sr.Analyst,Marketing,Specialty Products,Male,Asian,35,1/23/2022,"$86,777 ",0%,China,Chengdu,
Production,E02071,Luca Phan,Manager,Marketing,Corporate,Male,Asian,39,6/17/2015,"$129,949 ",9%,China,Beijing,
Production,E02072,Olivia Xi,Manager,Sales,Specialty Products,Female,Asian,26,8/19/2020,"$124,535 ",6%,United States,Chicago,
Production,E02073,Alice Luu,SystemAdministrator ,IT,Research & Development,Female,Asian,60,7/17/1993,"$81,083 ",0%,United States,Columbus,
Production,E02074,Leonardo Ng,Analyst,Marketing,Corporate,Male,Asian,32,06/10/2019,"$57,727 ",0%,China,Chengdu,
Production,E02075,Peyton Edwards,AnalystII,Finance,Manufacturing,Female,Caucasian,65,07/11/2020,"$59,344 ",0%,United States,Columbus,
Production,E02076,Axel Patel,Sr.Analyst,Sales,Research & Development,Male,Asian,27,9/13/2022,"$73,203 ",0%,United States,Miami,
Production,E02077,Eva Chavez,ITSystemsArchitect,IT,Specialty Products,Female,Latino,63,1/17/2004,"$83,070 ",0%,Brazil,Sao Paulo,
Production,E02078,Savannah Lee,Manager,Human Resources,Research & Development,Female,Asian,51,7/22/2020,"$104,008 ",10%,China,Beijing,
Production,E02079,Mia Grant,SolutionsArchitect,IT,Corporate,Female,Caucasian,43,2/16/2007,"$70,923 ",0%,United States,Columbus,
Production,E02080,Eli Richardson,Sr.Manager,Marketing,Specialty Products,Male,Black,31,04/08/2018,"$159,121 ",14%,United States,Phoenix,
Production,E02081,Eloise Perry,Sr.BusinessPartner,Human Resources,Research & Development,Female,Caucasian,26,12/02/2020,"$88,921 ",0%,United States,Chicago,
Production,E02082,Ian Cheng,Sr.Manager,Sales,Specialty Products,Male,Asian,46,8/30/2015,"$126,704 ",14%,United States,Phoenix,
Production,E02083,Penelope Chan,AnalystII,Accounting,Manufacturing,Female,Asian,59,5/20/2012,"$57,704 ",0%,China,Shanghai,11/21/2019
Production,E02084,Sofia Vasquez,Director,Sales,Research & Development,Female,Latino,52,7/29/1996,"$191,455 ",24%,Brazil,Sao Paulo,
Production,E02085,Anthony Baker,SolutionsArchitect,IT,Manufacturing,Male,Caucasian,31,06/03/2021,"$99,937 ",0%,United States,Phoenix,
Production,E02086,Lucas Luong,Analyst,Marketing,Specialty Products,Male,Asian,42,03/12/2008,"$40,778 ",0%,China,Chengdu,
Production,E02087,Xavier Patel,Director,Marketing,Specialty Products,Male,Asian,53,11/16/2021,"$187,740 ",16%,United States,Columbus,
Production,E02088,Robert Soto,HRISAnalyst,Human Resources,Research & Development,Male,Latino,47,09/10/2008,"$72,384 ",0%,Brazil,Rio de Janeiro,
Production,E02089,Nevaeh Jiang,Sr.Manager,Marketing,Corporate,Female,Asian,45,08/05/2016,"$143,318 ",12%,China,Chengdu,
Production,E02090,Chloe Reyes,Director,Human Resources,Specialty Products,Female,Latino,45,6/18/2008,"$191,304 ",17%,United States,Phoenix,
Production,E02091,Lucy Edwards,Director,Human Resources,Specialty Products,Female,Black,33,3/16/2015,"$175,875 ",21%,United States,Columbus,5/16/2022
Production,E02092,Luna Edwards,Manager,Sales,Research & Development,Female,Black,42,4/13/2014,"$106,726 ",9%,United States,Seattle,
Production,E02093,Stella Daniels,CloudInfrastructureArchitect,IT,Manufacturing,Female,Black,37,10/30/2011,"$72,637 ",0%,United States,Columbus,
Production,E02094,Ayla Ma,Manager,Marketing,Corporate,Female,Asian,27,12/05/2022,"$118,304 ",7%,China,Shanghai,
Production,E02095,Matthew Avila,ComputerSystemsManager,IT,Manufacturing,Male,Latino,55,6/17/2003,"$68,592 ",8%,Brazil,Sao Paulo,
Production,E02096,Gianna Lim,Analyst,Accounting,Research & Development,Female,Asian,46,04/01/2006,"$42,532 ",0%,China,Chongqing,
Production,E02097,Joseph Tan,TechnicalArchitect,IT,Research & Development,Male,Asian,37,8/20/2015,"$65,073 ",0%,China,Shanghai,
Production,E02098,Connor Lai,EngineeringManager,Engineering,Corporate,Male,Asian,32,9/22/2019,"$111,035 ",12%,United States,Chicago,
Production,E02099,Ava Owens,AnalystII,Finance,Specialty Products,Female,Caucasian,28,02/07/2020,"$63,066 ",0%,United States,Seattle,
Production,E02100,Dylan Aguilar,Director,Engineering,Corporate,Male,Latino,49,3/27/2007,"$186,192 ",27%,Brazil,Sao Paulo,
Production,E02101,Leah Zheng,Director,Engineering,Corporate,Female,Asian,52,6/18/2016,"$182,938 ",23%,China,Chengdu,
Production,E02102,Jade Pham,Analyst,Accounting,Manufacturing,Female,Asian,61,12/12/2017,"$53,931 ",0%,China,Shanghai,
Production,E02103,Theodore Bui,VicePresident,Sales,Specialty Products,Male,Asian,53,5/13/2012,"$252,140 ",38%,China,Beijing,
Production,E02104,Asher Chan,Sr.BusinessPartner,Human Resources,Corporate,Male,Asian,40,8/18/2018,"$73,041 ",0%,China,Shanghai,
Production,E02105,Ezekiel Brown,Manager,Finance,Corporate,Male,Caucasian,27,3/14/2022,"$120,315 ",8%,United States,Miami,7/17/2022
Production,E02106,Peyton Allen,Manager,Marketing,Specialty Products,Female,Caucasian,26,11/23/2020,"$112,264 ",5%,United States,Chicago,
Production,E02107,Parker Joseph,SystemsAnalyst,IT,Specialty Products,Male,Caucasian,53,1/21/2000,"$55,039 ",0%,United States,Seattle,
Production,E02108,Kayden Ortiz,Sr.Manager,Accounting,Specialty Products,Male,Latino,33,7/29/2013,"$134,782 ",15%,Brazil,Manaus,
Production,E02109,Lillian Desai,FieldEngineer,Engineering,Manufacturing,Female,Asian,27,12/12/2022,"$92,806 ",0%,China,Chengdu,
Production,E02110,Avery Gutierrez,VicePresident,Marketing,Corporate,Female,Latino,56,07/02/2016,"$181,028 ",38%,United States,Phoenix,
Production,E02111,Caroline Sandoval,Analyst,Sales,Corporate,Female,Latino,36,10/03/2013,"$48,117 ",0%,Brazil,Sao Paulo,
Production,E02112,Hailey Lim,Director,Marketing,Corporate,Female,Asian,47,01/06/2005,"$192,753 ",17%,China,Chongqing,
Production,E02113,Roman Liang,Sr.Analyst,Sales,Manufacturing,Male,Asian,28,03/04/2021,"$85,206 ",0%,China,Chongqing,07/08/2022
Production,E02114,Elias Rojas,AccountRepresentative,Sales,Manufacturing,Male,Latino,30,01/07/2018,"$58,290 ",0%,United States,Chicago,
Production,E02115,Quinn Lai,SystemsAnalyst,IT,Research & Development,Female,Asian,58,8/28/2003,"$41,946 ",0%,United States,Phoenix,
Production,E02116,Clara Le,ServiceDeskAnalyst,IT,Corporate,Female,Asian,56,3/15/2021,"$79,388 ",0%,China,Beijing,
Production,E02117,Chloe Yoon,NetworkAdministrator,IT,Corporate,Female,Asian,65,2/25/2002,"$83,854 ",0%,United States,Seattle,
Production,E02118,Abigail Simmons,Sr.Manager,IT,Specialty Products,Female,Caucasian,29,4/24/2018,"$126,550 ",15%,United States,Miami,
Production,E02119,Ayla Espinoza,Director,Human Resources,Research & Development,Female,Latino,60,10/01/1993,"$199,705 ",26%,Brazil,Rio de Janeiro,
Production,E02120,Nova Lin,VicePresident,Sales,Specialty Products,Female,Asian,31,04/09/2019,"$201,235 ",32%,United States,Austin,
Production,E02121,Sadie Singh,Director,Engineering,Specialty Products,Female,Asian,45,3/16/2022,"$182,717 ",26%,United States,Columbus,
Production,E02122,Aaron Powell,EnterpriseArchitect,IT,Research & Development,Male,Black,30,09/11/2017,"$79,975 ",0%,United States,Chicago,
Production,E02123,Jameson Vargas,Director,Human Resources,Specialty Products,Male,Latino,36,7/24/2011,"$196,554 ",20%,Brazil,Rio de Janeiro,
Production,E02124,Logan Young,VicePresident,IT,Corporate,Male,Black,39,8/16/2010,"$239,395 ",33%,United States,Seattle,
Production,E02125,Wyatt Cheung,AnalystII,Sales,Specialty Products,Male,Asian,44,7/25/2013,"$53,703 ",0%,China,Beijing,
Production,E02126,Lucas Zhu,Manager,IT,Manufacturing,Male,Asian,53,3/14/2011,"$123,480 ",8%,China,Beijing,
Production,E02127,Emily Hong,ITCoordinator,IT,Specialty Products,Female,Asian,46,01/09/2021,"$41,197 ",0%,China,Beijing,
Production,E02128,Luke Ramos,AccountRepresentative,Sales,Corporate,Male,Latino,30,7/28/2018,"$72,463 ",0%,Brazil,Manaus,
Production,E02129,Maya Gupta,FieldEngineer,Engineering,Corporate,Female,Asian,28,08/04/2019,"$87,675 ",0%,China,Beijing,
Production,E02130,Eliana Ha,Analyst,Accounting,Specialty Products,Female,Asian,35,12/15/2020,"$55,833 ",0%,China,Chengdu,
Production,E02131,Lillian Cheng,AnalystII,Finance,Research & Development,Female,Asian,58,8/20/1996,"$58,208 ",0%,China,Chengdu,
Production,E02132,Alexander Pena,Sr.Analyst,Sales,Specialty Products,Male,Latino,47,5/24/2002,"$75,633 ",0%,United States,Chicago,
Production,E02133,Leonardo Mai,Sr.Analyst,Marketing,Specialty Products,Male,Asian,43,1/28/2007,"$79,090 ",0%,China,Chengdu,
Production,E02134,Jack Phillips,AnalystII,Finance,Manufacturing,Male,Black,47,7/27/2015,"$66,138 ",0%,United States,Phoenix,
Production,E02135,Scarlett Delgado,CloudInfrastructureArchitect,IT,Research & Development,Female,Latino,57,8/28/2013,"$80,728 ",0%,Brazil,Rio de Janeiro,
Production,E02136,Jack Rogers,SystemsAnalyst,IT,Corporate,Male,Black,47,02/01/2005,"$46,202 ",0%,United States,Phoenix,
Production,E02137,Violet Huynh,Manager,Sales,Research & Development,Female,Asian,50,2/29/2008,"$123,096 ",10%,China,Shanghai,
Production,E02138,Victoria Park,Analyst,Marketing,Research & Development,Female,Asian,27,3/18/2020,"$45,989 ",0%,United States,Chicago,
Production,E02139,Elizabeth Rodriguez,Sr.Manager,Accounting,Corporate,Female,Latino,26,8/13/2021,"$140,756 ",13%,Brazil,Sao Paulo,
Production,E02140,Samuel Kumar,NetworkEngineer,IT,Corporate,Male,Asian,43,03/09/2009,"$85,261 ",0%,China,Chengdu,
Production,E02141,Zoe Maldonado,VicePresident,Accounting,Corporate,Female,Latino,49,9/25/1998,"$198,222 ",34%,Brazil,Sao Paulo,
Production,E02142,Natalia Richardson,Sr.Manager,Sales,Research & Development,Female,Caucasian,36,06/02/2017,"$150,825 ",10%,United States,Columbus,
Production,E02143,Madeline Contreras,Analyst,Accounting,Corporate,Female,Latino,51,10/31/1995,"$59,311 ",0%,Brazil,Sao Paulo,
Production,E02144,Raelynn Espinoza,Analyst,Accounting,Corporate,Female,Latino,46,09/12/2002,"$44,411 ",0%,Brazil,Manaus,
Production,E02145,Noah Rojas,AnalystII,Finance,Manufacturing,Male,Latino,37,11/14/2019,"$69,408 ",0%,United States,Chicago,
Production,E02146,Jack Ramos,Sr.Analyst,Finance,Manufacturing,Male,Latino,43,6/17/2018,"$96,759 ",0%,Brazil,Manaus,
Production,E02147,Riley King,Director,Marketing,Specialty Products,Female,Black,53,08/10/2013,"$163,480 ",15%,United States,Columbus,
Production,E02148,Naomi Lee,SystemAdministrator ,IT,Research & Development,Female,Asian,58,4/15/2014,"$91,132 ",0%,China,Beijing,
Production,E02149,Caleb Jones,Manager,Marketing,Corporate,Male,Caucasian,57,07/10/1996,"$122,825 ",8%,United States,Miami,
Production,E02150,Peyton Alvarado,ServiceDeskAnalyst,IT,Manufacturing,Female,Latino,31,10/24/2015,"$73,612 ",0%,Brazil,Rio de Janeiro,
Production,E02151,Luca Liu,AccountRepresentative,Sales,Manufacturing,Male,Asian,40,6/22/2007,"$70,561 ",0%,China,Chongqing,
Production,E02152,Christian Johnson,NetworkArchitect,IT,Research & Development,Male,Black,47,5/25/2008,"$60,331 ",0%,United States,Miami,
Production,E02153,Kinsley Gonzales,SystemsAnalyst,IT,Manufacturing,Female,Latino,51,05/05/2007,"$48,772 ",0%,Brazil,Rio de Janeiro,
Production,E02154,Hunter Yoon,NetworkAdministrator,IT,Research & Development,Male,Asian,57,10/02/2020,"$90,599 ",0%,China,Chongqing,
Production,E02155,Elias Dixon,ITCoordinator,IT,Corporate,Male,Caucasian,46,11/22/2021,"$55,643 ",0%,United States,Columbus,
Production,E02156,Owen Guerrero,FieldEngineer,Engineering,Corporate,Male,Latino,40,09/03/2022,"$97,938 ",0%,United States,Chicago,
Production,E02157,Lucas Lo,Analyst,Accounting,Research & Development,Male,Asian,43,1/18/2004,"$49,627 ",0%,China,Beijing,
Production,E02158,Hunter Mitchell,ITCoordinator,IT,Research & Development,Male,Caucasian,54,4/17/2021,"$58,137 ",0%,United States,Columbus,
Production,E02159,Eliana Bailey,Sr.Manager,Sales,Research & Development,Female,Black,27,01/02/2021,"$120,586 ",15%,United States,Seattle,
Production,E02160,Gabriella Choi,AnalystII,Accounting,Manufacturing,Female,Asian,56,8/15/1999,"$72,925 ",0%,United States,Seattle,
Production,E02161,Evelyn Alvarado,NetworkAdministrator,IT,Specialty Products,Female,Latino,36,08/12/2022,"$83,548 ",0%,United States,Miami,
Production,E02162,Wyatt Chan,Manager,Finance,Manufacturing,Male,Asian,53,6/28/2005,"$128,226 ",8%,China,Shanghai,
Production,E02163,Sarah Johnson,Director,Engineering,Research & Development,Female,Caucasian,31,03/06/2018,"$150,653 ",24%,United States,Austin,09/01/2019
Production,E02164,Brooks Evans,Sr.AccountRepresentative,Sales,Specialty Products,Male,Caucasian,45,05/04/2016,"$80,989 ",0%,United States,Columbus,
Production,E02165,Isaiah Dixon,DevelopmentEngineer,Engineering,Corporate,Male,Caucasian,29,2/27/2022,"$74,901 ",0%,United States,Austin,
Production,E02166,Addison Lo,CloudInfrastructureArchitect,IT,Research & Development,Female,Asian,27,8/28/2020,"$68,712 ",0%,United States,Columbus,
Production,E02167,Nolan Howard,QualityEngineer,Engineering,Research & Development,Male,Caucasian,26,4/18/2022,"$82,963 ",0%,United States,Austin,6/23/2022
Production,E02168,Paisley Dominguez,EngineeringManager,Engineering,Research & Development,Female,Latino,53,6/14/2009,"$123,203 ",10%,United States,Austin,
Production,E02169,Eliana Ho,Director,Accounting,Corporate,Female,Asian,64,09/05/2012,"$195,416 ",22%,China,Chengdu,
Production,E02170,Charles Miller,Director,Marketing,Manufacturing,Male,Black,32,06/07/2018,"$156,418 ",23%,United States,Columbus,
Production,E02171,Mia Jiang,VicePresident,Accounting,Manufacturing,Female,Asian,42,6/19/2015,"$255,892 ",38%,United States,Miami,
Production,E02172,Skylar Parker,TechnicalArchitect,IT,Corporate,Female,Caucasian,31,08/05/2018,"$96,195 ",0%,United States,Phoenix,
Production,E02173,Zoey Leung,NetworkAdministrator,IT,Research & Development,Female,Asian,40,9/27/2007,"$77,637 ",0%,China,Chongqing,02/04/2017
Production,E02174,Austin Moua,TestEngineer,Engineering,Research & Development,Male,Asian,46,5/27/2003,"$79,294 ",0%,China,Chengdu,
Production,E02175,Christopher Robinson,VicePresident,Finance,Specialty Products,Male,Caucasian,35,07/11/2016,"$254,287 ",31%,United States,Austin,10/17/2022
Production,E02176,Jayden Zhang,EnterpriseArchitect,IT,Specialty Products,Male,Asian,64,6/27/1994,"$70,516 ",0%,China,Chengdu,
Production,E02177,Cora Mejia,Sr.Analyst,Accounting,Research & Development,Female,Latino,58,06/07/2014,"$98,296 ",0%,Brazil,Manaus,
Production,E02178,Julian Harris,OperationsEngineer,Engineering,Manufacturing,Male,Caucasian,61,12/30/2015,"$98,565 ",0%,United States,Phoenix,
Production,E02179,Anthony Espinoza,AnalystII,Finance,Manufacturing,Male,Latino,41,11/16/2020,"$59,149 ",0%,Brazil,Rio de Janeiro,
Production,E02180,Aubrey Ruiz,AnalystII,Marketing,Specialty Products,Female,Latino,25,01/11/2021,"$70,126 ",0%,Brazil,Sao Paulo,
Production,E02181,Piper Tang,VicePresident,Human Resources,Manufacturing,Female,Asian,50,7/28/2011,"$216,787 ",33%,China,Beijing,
Production,E02182,Colton Delgado,Sr.Manager,Accounting,Research & Development,Male,Latino,61,10/22/2006,"$156,512 ",13%,Brazil,Rio de Janeiro,
Production,E02183,Madeline Chung,Analyst,Finance,Research & Development,Female,Asian,63,5/26/2011,"$44,444 ",0%,United States,Miami,07/12/2015
Production,E02184,Ariana Sharma,VicePresident,Sales,Research & Development,Female,Asian,45,1/24/2014,"$257,725 ",34%,United States,Seattle,6/29/2022
Production,E02185,Julian Marquez,Sr.Manager,Accounting,Specialty Products,Male,Latino,33,9/14/2013,"$122,408 ",11%,Brazil,Rio de Janeiro,
Production,E02186,Logan Reyes,QualityEngineer,Engineering,Corporate,Male,Latino,62,04/10/1995,"$78,251 ",0%,Brazil,Sao Paulo,3/19/2020
Production,E02187,Penelope Mai,VicePresident,Sales,Corporate,Female,Asian,43,05/02/2004,"$252,938 ",35%,United States,Austin,
Production,E02188,Ryan Reed,Sr.Analyst,Sales,Manufacturing,Male,Black,48,10/28/2019,"$90,296 ",0%,United States,Austin,
Production,E02189,Grayson Hwang,Sr.Analyst,Finance,Corporate,Male,Asian,42,4/23/2013,"$91,689 ",0%,China,Chongqing,
Production,E02190,Ezra Tan,Sr.Manager,Finance,Corporate,Male,Asian,49,12/22/1999,"$158,028 ",12%,China,Chengdu,
Production,E02191,David Ha,Sr.AccountRepresentative,Sales,Corporate,Male,Asian,33,7/27/2022,"$89,759 ",0%,China,Chongqing,
Production,E02192,Lillian Vang,TechnicalArchitect,IT,Research & Development,Female,Asian,39,9/13/2015,"$78,640 ",0%,China,Chongqing,
Production,E02193,Sofia Zhang,Analyst,Finance,Specialty Products,Female,Asian,51,01/11/2005,"$55,368 ",0%,United States,Chicago,
Production,E02194,Athena Daniels,NetworkAdministrator,IT,Specialty Products,Female,Caucasian,49,5/23/2021,"$78,164 ",0%,United States,Seattle,
Production,E02195,Jameson Shin,Sr.Analyst,Marketing,Research & Development,Male,Asian,30,5/14/2020,"$76,014 ",0%,China,Chengdu,
Production,E02196,Everly Avila,AccountRepresentative,Sales,Manufacturing,Female,Latino,41,11/13/2015,"$61,403 ",0%,United States,Miami,
Production,E02197,Liam Nelson,TechnicalArchitect,IT,Research & Development,Male,Black,58,12/17/2010,"$80,720 ",0%,United States,Columbus,
